year,month,title,Hemisphere,extent,area
1979,9,      Goddard,      N,7.05,4.58
1980,9,      Goddard,      N,7.67,4.87
1981,9,      Goddard,      N,7.14,4.44
1982,9,      Goddard,      N,7.3,4.43
1983,9,      Goddard,      N,7.39,4.7
1984,9,      Goddard,      N,6.81,4.11
1985,9,      Goddard,      N,6.7,4.23
1986,9,      Goddard,      N,7.41,4.72
1987,9,      Goddard,      N,7.28,5.64
1988,9,      Goddard,      N,7.37,5.36
1989,9,      Goddard,      N,7.01,4.86
1990,9,      Goddard,      N,6.14,4.55
1991,9,      Goddard,      N,6.47,4.51
1992,9,      Goddard,      N,7.47,5.43
1993,9,      Goddard,      N,6.4,4.58
1994,9,      Goddard,      N,7.14,5.13
1995,9,      Goddard,      N,6.08,4.43
1996,9,      Goddard,      N,7.58,5.62
1997,9,      Goddard,      N,6.69,4.89
1998,9,      Goddard,      N,6.54,4.3
1999,9,      Goddard,      N,6.12,4.29
2000,9,      Goddard,      N,6.25,4.35
2001,9,      Goddard,      N,6.73,4.59
2002,9,      Goddard,      N,5.83,4.03
2003,9,      Goddard,      N,6.12,4.05
2004,9,      Goddard,      N,5.98,4.39
2005,9,      Goddard,      N,5.5,4.07
2006,9,      Goddard,      N,5.86,4.01
2007,9,      Goddard,      N,4.27,2.82
2008,9,      Goddard,      N,4.69,3.26
2009,9,      Goddard,      N,5.26,3.76
2010,9,      Goddard,      N,4.87,3.34
2011,9,      Goddard,      N,4.56,3.21
2012,9,      Goddard,      N,3.57,2.41
2013,9,      Goddard,      N,5.21,3.78
2014,9,      Goddard,      N,5.22,3.74
2015,9,      Goddard,      N,4.62,3.42
2016,9,      Goddard,      N,4.53,2.91
2017,9,      Goddard,      N,4.82,3.35
2018,9,      Goddard,      N,4.79,3.35
2019,9,      NRTSI-G,      N,4.32,3.13
1979,10,      Goddard,      N,8.75,6.19
1980,10,      Goddard,      N,9.18,6.5
1981,10,      Goddard,      N,8.86,6.27
1982,10,      Goddard,      N,9.42,6.67
1983,10,      Goddard,      N,9.33,6.79
1984,10,      Goddard,      N,8.56,5.91
1985,10,      Goddard,      N,8.55,6.12
1986,10,      Goddard,      N,9.48,6.83
1987,10,      Goddard,      N,9.05,7.49
1988,10,      Goddard,      N,9.13,7.52
1989,10,      Goddard,      N,8.83,6.96
1990,10,      Goddard,      N,8.48,6.74
1991,10,      Goddard,      N,8.54,6.75
1992,10,      Goddard,      N,9.32,7.74
1993,10,      Goddard,      N,8.79,7.06
1994,10,      Goddard,      N,8.92,7.23
1995,10,      Goddard,      N,7.83,5.99
1996,10,      Goddard,      N,9.16,7.54
1997,10,      Goddard,      N,8.34,6.47
1998,10,      Goddard,      N,8.45,6.71
1999,10,      Goddard,      N,8.6,6.83
2000,10,      Goddard,      N,8.38,6.69
2001,10,      Goddard,      N,8.3,6.65
2002,10,      Goddard,      N,8.16,6.24
2003,10,      Goddard,      N,7.85,5.98
2004,10,      Goddard,      N,7.93,6.4
2005,10,      Goddard,      N,7.35,5.78
2006,10,      Goddard,      N,7.54,5.8
2007,10,      Goddard,      N,6.04,4.33
2008,10,      Goddard,      N,7.35,5.77
2009,10,      Goddard,      N,6.92,5.24
2010,10,      Goddard,      N,6.98,5.48
2011,10,      Goddard,      N,6.46,5.02
2012,10,      Goddard,      N,5.89,4.58
2013,10,      Goddard,      N,7.45,5.95
2014,10,      Goddard,      N,7.23,5.7
2015,10,      Goddard,      N,6.97,5.49
2016,10,      Goddard,      N,6.08,4.4
2017,10,      Goddard,      N,6.77,5.3
2018,10,      Goddard,      N,6.13,4.59
2019,10,      NRTSI-G,      N,5.66,4.48
1979,11,      Goddard,      N,10.94,8.37
1980,11,      Goddard,      N,11.38,8.73
1981,11,      Goddard,      N,10.93,8.31
1982,11,      Goddard,      N,11.63,9.06
1983,11,      Goddard,      N,11.46,8.99
1984,11,      Goddard,      N,10.84,8.24
1985,11,      Goddard,      N,11.02,8.42
1986,11,      Goddard,      N,11.45,8.87
1987,11,      Goddard,      N,11.22,9.73
1988,11,      Goddard,      N,11.33,9.91
1989,11,      Goddard,      N,11.12,9.46
1990,11,      Goddard,      N,11.08,9.64
1991,11,      Goddard,      N,10.88,9.25
1992,11,      Goddard,      N,11.38,9.75
1993,11,      Goddard,      N,11.32,9.54
1994,11,      Goddard,      N,11.12,9.71
1995,11,      Goddard,      N,10.76,9.03
1996,11,      Goddard,      N,10.4,8.77
1997,11,      Goddard,      N,10.68,9.07
1998,11,      Goddard,      N,10.44,8.88
1999,11,      Goddard,      N,10.8,9.26
2000,11,      Goddard,      N,10.32,8.87
2001,11,      Goddard,      N,10.66,9.08
2002,11,      Goddard,      N,10.34,8.75
2003,11,      Goddard,      N,10.13,8.57
2004,11,      Goddard,      N,10.34,8.95
2005,11,      Goddard,      N,10.22,8.8
2006,11,      Goddard,      N,9.66,8.13
2007,11,      Goddard,      N,9.76,8.06
2008,11,      Goddard,      N,10.34,9.05
2009,11,      Goddard,      N,9.77,8.36
2010,11,      Goddard,      N,9.61,8.43
2011,11,      Goddard,      N,9.77,8.52
2012,11,      Goddard,      N,9.39,8.06
2013,11,      Goddard,      N,9.94,8.66
2014,11,      Goddard,      N,10.11,8.75
2015,11,      Goddard,      N,9.85,8.48
2016,11,      Goddard,      N,8.66,7.01
2017,11,      Goddard,      N,9.49,8.08
2018,11,      Goddard,      N,9.82,8.43
2019,11,      NRTSI-G,      N,9.33,7.92
